MUNICIPIO,ENTE,OUVIDOR,TELEFONE,EMAIL,SITE,ENDERECO,HORARIO,OUVIDOR2025,TELEFONE2025,EMAIL2025,ENDERECO2025
ABAIARA,Prefeitura,Alice Rodrigues,(85) 98869-0116,ouvidoria@abaiara.ce.gov.br,https://abaiara.ce.gov.br/,"Rua Expedito Oliveira das Neves, nº 70 – Centro – Abaiara/CE",8h-12h / 13h-17h,Paula Vitória da Silva Moreira,Não informado,,
ACARAPE,Prefeitura,Thiago Soares Barroso de Freitas,,ouvidoria@acarape.ce.gov.br,https://acarape.ce.gov.br/,"Rua José Guilherme Costa, s/n - Centro - CEP: 62785-000 – Acarape\CE",,,,,
ACARAÚ,Prefeitura,João Mayson M. Guilherme,(88) 9.9610.6664,ouvidoria@acarape.ce.gov.br,https://acarau.ce.gov.br/,Centro Administrativo de Acarau - Sala da Ouvidoria,,,,,
ACOPIARA,Prefeitura,Juliana Feitosa de Sousa,(88) 9.9721.8838,ouvidoriaacopiara@gmail.com,https://www.acopiara.ce.gov.br/,"AV. JOSÉ MARQUES FILHO,S/N VILA AROEIRA, CEP: 63560-000",,,,,
AIUABA,Prefeitura,PREFEITURA,(88) 3524-1103 | (88) 3524-1253,aiuabaouvidoria@gmail.com,https://www.aiuaba.ce.gov.br/,"Rua Niceas Arraes, 498, Centro - Aiuaba/CE",,,,,
ALCÂNTARAS,Prefeitura,PREFEITURA,(88) 3640.1033,,https://alcantaras.ce.gov.br/,,,,,,
ALTANEIRA,Prefeitura,Antônio Pereira da Silva,(88) 99460-2606,ouvidoria@altaneira.ce.gov.br,https://www.altaneira.ce.gov.br/portal,"Rua Joaquim Soares da Silva, 406 - Centro - Altaneira/CE ",,,,,
ALTO SANTO,Prefeitura,Francisco Wanderson de O. F,8899255488,ouvidoria@altosanto.ce.gov.br,https://altosanto.ce.gov.br/,"Rua Coronel Simplício Bezerra, 198 - Centro - 62.970-000 | Alto Santo – CE",,,,,
AMONTADA,Prefeitura,Maria Irisnalda dos Santos,(88) 9.9764-2573,ouvidoriaearticulacaoamontada@gmail.com,https://www.amontada.ce.gov.br/,"Avenida General Alípio dos Santos, 1343- Centro - CEP: 62540-000 – Amontada-CE",,,,,
ANTONINA DO NORTE,Prefeitura,Karina Araujo,(88) 99344-3507,direito.karinaaraujo@gmail.com,https://antoninadonorte.ce.gov.br/,"R. João Batista Arrais, 08 - Centro, Antonina do Norte/CE",,,,,
APUIARES,Prefeitura,Carlos Cesar dos Santos M.,(85) 99263-8824,gabinete@apuiares.ce.gov.br,https://www.apuiares.ce.gov.br/,"João Honório de Freitas, s/n - Centro - 62.630-000 - Apuiarés/CE",,,,,
AQUIRAZ,Prefeitura,Ednardo Castelo Branco Brasileiro,(85) 4062-8090 RAM 9188,ouvidoria@aquiraz.ce.gov.br,https://www.aquiraz.ce.gov.br/,"Rua da Integração, s/n - Centro - Aquiraz/CE",,,,,
ARACATI,Prefeitura,Michelle dos Santos Freires,,ouvidoriageral@aracati.ce.gov.br,https://aracati.ce.gov.br/,"Prédio anexo à SEFIN - Rua Santos Dumont, 1146 - Farias Brito - Aracati/CE",,Michele,,,
ARACOIABA,Prefeitura,Odelidia Figueiredo de Brito,(85) 99775-9145,ouvidoriaaracoiaba@gmail.com,https://aracoiaba.ce.gov.br/,"Casa do Cidadao, Av. Santos Dumont, s/n - Centro - Aracoiaba/CE",,,,,
