Municipio,Ente,Ouvidor,Telefone,Whatsapp,E-mail,Site,Endereço,Horario de funcionamento,Evidencia de Instrucao Normativa,Link da Instrucao Normativa
ABAIARA,Prefeitura,Paula Vitória da Silva Moreira,(85) 98869-0116,,ouvidoria@abaiara.ce.gov.br,https://abaiara.ce.gov.br/ouvidoria/,"Rua Expedito Oliveira das Neves, nº 70 – Centro – Abaiara/CE",8h-12h / 13h-17h,Não,
ACARAPE,Prefeitura,Thiago Soares Barroso de Freitas,,,ouvidoria@acarape.ce.gov.br,https://acarape.ce.gov.br/ouvidoria,"Rua José Guilherme Costa, s/n - Centro - CEP: 62785-000 – Acarape\CE",8h - 14h,Não,
ACARAÚ,Prefeitura,João Mayson Moura Guilherme,(88) 9.9610.6664,,ouvidoria@acarape.ce.gov.br,https://acarau.ce.gov.br/ouvidoria,"Rua Major Coelho, 185 - Centro. Cep: 62.580.000","De Segunda a Quinta de 08:00h às 12:00h e de 14:00h às 17:00h, e Sexta de 08:00 às 14:00h",Sim,https://www.acarau.ce.gov.br/arquivos/81/_1745_2018.pdf
ACOPIARA,Prefeitura,SAVIO RUAN DUARTE SOUZA,(88) 9.9721.8838,,ouvidoriaacopiara@gmail.com,https://www.acopiara.ce.gov.br/ouvidoria,"AV. JOSÉ MARQUES FILHO,S/N VILA AROEIRA, CEP: 63560-000",DE SEGUNDA A SEXTA AS 08:00 HS À 14:00 HS,Não,
AIUABA,Prefeitura,,(88) 35241253,,aiuabaouvidoria@gmail.com,https://www.aiuaba.ce.gov.br/ouvidoria,"Rua Niceas Arraes, 498, Centro - Aiuaba/CE",DE SEGUNDA A SEXTA AS 08:00 HS À 18:00 HS,Sim,https://aiuaba.ce.gov.br/arquivos/222/LEIS%20MUNICIPAIS_105_2018.pdf
ALCÂNTARAS,Prefeitura,,(88) 3640.1033,,,https://esic.alcantaras.ce.gov.br/ouvidoria,"Rua Antunino Cunha, 361 - Centro CEP: 62.120-000 - Alcântaras/CE",,Não,
ALTANEIRA,Prefeitura,Antônio Pereira da Silva,(88) 99460-2606,,ouvidoria@altaneira.ce.gov.br,https://www.altaneira.ce.gov.br/ouvidoria,,,Não,
ALTO SANTO,Prefeitura,Francisco Wanderson de Oliveira Freitas,(88) 9.2151-4940,(88) 9 2151-4940,ouvidoria@altosanto.ce.gov.br,https://altosanto.ce.gov.br/ouvidoria,"Rua Coronel Simplício Bezerra, 198 - Centro - 62.970-000 | Alto Santo – CE",DE SEGUNDA A QUINTA - DAS 07:00H AS 11:30H E 13:30H AS 17:00H E SEXTA-FEIRA DAS 07:00H AS 13:00H,Não,
AMONTADA,Prefeitura,Maria Irisnalda dos Santos,(88)9.9903-3423,(88) 9 9903-3423,ouvidoriaearticulacaoamontada@gmail.com,https://www.amontada.ce.gov.br/ouvidoria,"Avenida General Alípio dos Santos, 1343- Centro - CEP: 62540-000 – Amontada-CE",Segunda a Sexta - 08h às 14h,Não,
ANTONINA DO NORTE,Prefeitura,Karina de Araujo Mota,(88) 99344-3507,,ouvidoria.antonina.ce@gmail.com,https://antoninadonorte.ce.gov.br/ouvidoria/,"Rua Coronel Virgílio Távora, s/n - Centro - Antonina do Norte/CE",8h-11h,Não,
